epoch,split,loss,acc
1,train,0.026925867762751875,0.9939776649847978
1,val,0.025983914358911613,0.9942380930657049
2,train,0.024801393799012514,0.9939776650253758
2,val,0.02389128169868344,0.9942380930657049
3,train,0.023864464888883524,0.9939776649847978
3,val,0.02313318326490747,0.9942380930657049
4,train,0.023539675371042283,0.9939776649923412
4,val,0.022437676442097508,0.9942380930657049
5,train,0.023251981908351843,0.9939776650102892
5,val,0.022486047417690423,0.9942380930657049
6,train,0.022624845851066246,0.9939776649847978
6,val,0.02179940609237718,0.9942380930657049
7,train,0.023176875578870642,0.9939776649847978
7,val,0.02208872632333065,0.9942380930657049
8,train,0.022518882529093558,0.9939776649772545
8,val,0.021639960282524812,0.9942380930657049
9,train,0.023688279894884465,0.9939776649923412
9,val,0.02262835255306065,0.9942380930657049
10,train,0.02235311058835872,0.9939776650178325
10,val,0.021562987236910677,0.9942380930657049
11,train,0.02709019968417133,0.9939776649923412
11,val,0.026517633365561986,0.9942380930657049
12,train,0.022340799162387973,0.9939776650102892
12,val,0.021389114793762768,0.9942380930657049
